question,answer,disease,reference_url
What should I do if I have tonsillitis?,"Get plenty of rest, drink cool drinks to soothe the throat, take paracetamol or ibuprofen, gargle with warm salty water. Young children should not gargle with salty water. Speak to a pharmacist about tonsillitis. They can give advice and suggest treatments such as lozenges, throat sprays, antiseptic solutions. See a GP if you have pus-filled spots on your tonsils, the sore throat is so painful it's difficult to eat or drink, the symptoms do not go away within 4 days.",Tonsillitis,https://www.nhs.uk/conditions/Tonsillitis/
Should I stay away from others if I have tonsillitis?,"If you or your child have a high temperature or do not feel well enough to do normal activities, try to stay at home and avoid contact with other people until you feel better. Use tissues when you cough or sneeze and throw them away. Wash your hands after coughing or sneezing.",Tonsillitis,https://www.nhs.uk/conditions/Tonsillitis/
What are the causes of tonsillitis?,"Tonsillitis is usually caused by a virus, such as a cold, but it can also be due to a bacterial infection such as strep throat.",Tonsillitis,https://www.nhs.uk/conditions/Tonsillitis/
How can I check if I have tonsillitis?,Tonsillitis can feel like a bad cold or flu. The tonsils at the back of your throat will be red and swollen. Look at other sore throat symptoms.,Tonsillitis,https://www.nhs.uk/conditions/Tonsillitis/
Can I remove my tonsils if I have tonsillitis?,It's very rare that someone needs to have their tonsils taken out. This is usually only the case if you have severe tonsillitis that keeps coming back.,Tonsillitis,https://www.nhs.uk/conditions/Tonsillitis/
What complications can occur with tonsillitis?,"Complications with tonsillitis are very rare. Sometimes you can get a pocket filled with pus (abscess) between your tonsils and the wall of your throat. This is called quinsy. Call 999 or go to A&E if you have a severe sore throat that quickly gets worse, swelling inside the mouth and throat, difficulty speaking, difficulty swallowing, difficulty breathing, difficulty opening your mouth.",Tonsillitis,https://www.nhs.uk/conditions/Tonsillitis/
What is an abscess?,An abscess is a collection of pus that occurs in response to a bacterial infection. It can form anywhere in the body and is often painful.,abscess,https://www.nhs.uk/conditions/abscess/
What are the symptoms of a skin abscess?,"A skin abscess may appear as a swollen, pus-filled lump under the skin. Symptoms may also include a high temperature and chills.",abscess,https://www.nhs.uk/conditions/abscess/
What are the symptoms of an internal abscess?,"Internal abscesses can be more difficult to identify, but signs may include pain in the affected area, a high temperature, and generally feeling unwell.",abscess,https://www.nhs.uk/conditions/abscess/
When should I see a doctor if I suspect I have an abscess?,"If you think you may have an abscess, you should see your GP. They can examine a skin abscess or refer you to hospital if you may have an internal abscess.",abscess,https://www.nhs.uk/conditions/abscess/
What causes abscesses?,"Most abscesses are caused by a bacterial infection. When bacteria enter your body, your immune system sends infection-fighting white blood cells to the affected area.",abscess,https://www.nhs.uk/conditions/abscess/
How are abscesses treated?,Small skin abscesses may drain naturally or shrink without treatment. Larger abscesses may need antibiotics to clear the infection and the pus may need to be drained through a needle or small incision in the skin.,abscess,https://www.nhs.uk/conditions/abscess/
How can I prevent skin abscesses?,"You can reduce your risk of skin abscesses by ensuring your skin is clean, healthy, and free of bacteria, washing your hands regularly, using separate towels, not sharing communal equipment if your abscess is not fully treated or healed, and avoiding squeezing the pus out of the abscess.",abscess,https://www.nhs.uk/conditions/abscess/
What are other types of abscesses?,"Other types of abscesses not fully covered in this overview include an anorectal abscess, a Bartholin's cyst, a brain abscess, a dental abscess, a quinsy, a pilonidal abscess, and a spinal cord abscess.",abscess,https://www.nhs.uk/conditions/abscess/
What causes internal abscesses?,"Internal abscesses often develop as a complication of an existing condition like an infection elsewhere in your body, such as when the appendix bursts due to appendicitis and bacteria spreads inside the tummy (abdomen) causing an abscess to form.",abscess,https://www.nhs.uk/conditions/abscess/
What measures can be taken to reduce the risk of skin abscesses?,"Maintaining a balanced diet, losing weight if overweight, stopping smoking, and taking care when shaving to avoid nicking your skin can help reduce your risk of skin abscesses.",abscess,https://www.nhs.uk/conditions/abscess/
What is acanthosis nigricans?,"Acanthosis nigricans is a skin condition where dry, dark patches of skin appear in areas such as the armpits, neck or groin. It could be a sign of an underlying condition, so it needs to be checked by a GP.",acanthosis_nigricans,https://www.nhs.uk/conditions/acanthosis-nigricans/
What are the symptoms of acanthosis nigricans?,The main symptom of acanthosis nigricans is patches of skin that are darker and thicker than usual. They can appear anywhere on the body and often appear gradually without any other symptoms. Sometimes the skin may be itchy.,acanthosis_nigricans,https://www.nhs.uk/conditions/acanthosis-nigricans/
What should I do if I think I have acanthosis nigricans?,"You should see a GP if you have new dark patches on your skin, or if you have any skin changes you're unsure about. Although acanthosis nigricans is usually harmless, it's best to get any skin changes checked out to rule out any serious underlying conditions.",acanthosis_nigricans,https://www.nhs.uk/conditions/acanthosis-nigricans/
What happens at a GP appointment for acanthosis nigricans?,"A GP can usually tell if it's acanthosis nigricans by looking at your skin. Sometimes, you may need some tests to find out what's causing the patches. Although acanthosis nigricans is usually harmless, it's important to get any skin changes checked out as it can sometimes be a sign of something more serious, such as cancer.",acanthosis_nigricans,https://www.nhs.uk/conditions/acanthosis-nigricans/
What are the possible causes of acanthosis nigricans?,"The most common cause of acanthosis nigricans is being very overweight. Other causes include type 2 diabetes, conditions that affect hormone levels such as Cushing's syndrome, polycystic ovary syndrome or an underactive thyroid, taking certain medicines such as steroids or hormone treatments like the contraceptive pill, rarely cancer usually stomach cancer, and rarely a faulty gene inherited from your parents. Sometimes, healthy people with no other conditions get acanthosis nigricans, which is more common in people with black or brown skin.",acanthosis_nigricans,https://www.nhs.uk/conditions/acanthosis-nigricans/
What are the treatment options for acanthosis nigricans?,"Once a GP knows what's causing acanthosis nigricans, they can recommend the best treatment. Depending on the cause, they may recommend medicine to balance your hormones or insulin levels, changing your medicine to one that does not cause the patches, or if you're overweight, a GP may recommend losing weight. There's no specific treatment for the patches themselves. A skin specialist (dermatologist) may be able to suggest treatments to improve their appearance, but finding and treating the cause is usually recommended first.",acanthosis_nigricans,https://www.nhs.uk/conditions/acanthosis-nigricans/
Does acanthosis nigricans only appear on certain areas of the body?,"No, acanthosis nigricans can appear anywhere on the body.",acanthosis_nigricans,https://www.nhs.uk/conditions/acanthosis-nigricans/
Is acanthosis nigricans always a sign of an underlying condition?,"Acanthosis nigricans is not always a sign of an underlying condition. Sometimes, people without any other conditions get acanthosis nigricans, but it's important to get any skin changes checked out.",acanthosis_nigricans,https://www.nhs.uk/conditions/acanthosis-nigricans/
What is Cushing's syndrome?,"Cushing's syndrome is a condition caused by having high levels of the hormone cortisol in your body for a long time. It can cause a range of symptoms such as weight gain, stretch marks, high blood pressure, and weakened bones. It can also cause acanthosis nigricans, although this is a rare symptom.",acanthosis_nigricans,https://www.nhs.uk/conditions/acanthosis-nigricans/
Is acanthosis nigricans treatable?,"Once the cause of acanthosis nigricans is found, the patches should fade over time with the appropriate treatment. Depending on the cause, treatment may involve medicine to balance hormones or insulin levels, changing medication or losing weight. There's no specific treatment for the patches themselves.",acanthosis_nigricans,https://www.nhs.uk/conditions/acanthosis-nigricans/
What is Achalasia?,"Achalasia is a rare disorder of the food pipe (oesophagus), which can make it difficult to swallow food and drink.",achalasia,https://www.nhs.uk/conditions/achalasia/
What causes Achalasia?,"Achalasia is thought to happen when the nerves in the oesophagus become damaged and stop working properly, which is why the muscles and ring of muscle do not work. The exact cause of this is unknown.",achalasia,https://www.nhs.uk/conditions/achalasia/
What are the common symptoms of Achalasia?,"The common symptoms of Achalasia are difficulty in swallowing food or drink (known as dysphagia), bringing back up undigested food, choking and coughing fits, heartburn, chest pain, repeated chest infections, drooling of vomit or saliva, and gradual but significant weight loss.",achalasia,https://www.nhs.uk/conditions/achalasia/
How is Achalasia diagnosed?,"If a GP thinks you have Achalasia, you'll be referred to hospital to have some diagnostic tests such as Manometry, Barium swallow, and Endoscopy.",achalasia,https://www.nhs.uk/conditions/achalasia/
Can Achalasia be cured?,"There is no cure for Achalasia, but treatment can help relieve the symptoms and make swallowing easier.",achalasia,https://www.nhs.uk/conditions/achalasia/
What are the potential side effects of balloon dilation treatment?,"Balloon dilation treatment can cause side effects such as acid reflux, heartburn, and chest pain.",achalasia,https://www.nhs.uk/conditions/achalasia/
What is Botox injection treatment?,"Botox injection is a treatment where Botox is injected into the ring of muscle that lets food into your stomach, causing it to relax.",achalasia,https://www.nhs.uk/conditions/achalasia/
What should be done if someone still has swallowing difficulties or is continuing to lose weight after treatment?,"If someone still has swallowing difficulties or is continuing to lose weight after treatment, they should see a GP.",achalasia,https://www.nhs.uk/conditions/achalasia/
What should I do if I get a chemical burn?,"If you get a chemical burn, the first thing you should do is call 999 and ask for urgent help. Then, try to carefully remove the chemical and any contaminated clothing, rinse the affected area using as much clean water as possible, and keep rinsing the area continuously with clean water. Stay on the phone until the ambulance arrives and follow any other advice given by the 999 call handler to avoid further injury.",acid_and_chemical_burns,https://www.nhs.uk/conditions/acid-and-chemical-burns/
How do I remove the chemical and contaminated clothing from my skin?,"To remove the chemical and contaminated clothing from your skin, you should try to carefully remove the chemical and any contaminated clothing from contact with the skin and eyes, but be very careful not to touch or spread the chemical. Use gloves or other protective materials to cover hands and, if possible, carefully cut away clothing such as T-shirts, rather than pulling them off over the head. Do not wipe the skin as this may spread contamination, and if the chemical is dry, brush it off the skin.",acid_and_chemical_burns,https://www.nhs.uk/conditions/acid-and-chemical-burns/
What should I do if the chemical burn is severe?,"If the chemical burn is severe, you may be referred to a specialist burns unit, which may be in a different hospital. You may stay in the hospital for a number of days. You may need surgery to remove the burnt area of skin and replace it with a section of skin (a graft) taken from another part of your body. More severe and deeper burns can take months or even years to fully heal and usually leave some visible scarring. In some cases, the depth and location of the burn may also lead to problems such as sight loss or restricted use of limbs or muscles.",acid_and_chemical_burns,https://www.nhs.uk/conditions/acid-and-chemical-burns/
What is the immediate first aid for a chemical burn?,"The immediate first aid for a chemical burn is to try to carefully remove the chemical and any contaminated clothing, rinse the affected area using as much clean water as possible, and keep rinsing the area continuously with clean water. Stay on the phone until the ambulance arrives and follow any other advice given by the 999 call handler to avoid further injury.",acid_and_chemical_burns,https://www.nhs.uk/conditions/acid-and-chemical-burns/
What should I avoid doing when treating a chemical burn?,"When treating a chemical burn, you should avoid wiping the skin as this may spread contamination. You should only use water to rinse the affected area – do not rub or wipe the area. Moreover, you should be very careful not to touch or spread the chemical, use gloves or other protective materials to cover your hands, and if possible, carefully cut away clothing such as T-shirts, rather than pulling them off over the head.",acid_and_chemical_burns,https://www.nhs.uk/conditions/acid-and-chemical-burns/
What is the treatment for chemical burns in hospital?,"The immediate treatment for chemical burns in the hospital includes continuing to wash off the corrosive substance with water until it's completely removed, cleaning the burn and covering it with an appropriate dressing, pain relief, and a tetanus jab if necessary.",acid_and_chemical_burns,https://www.nhs.uk/conditions/acid-and-chemical-burns/
How do minor burns normally heal?,"Minor burns affecting the outer layer of skin and some of the underlying layer of tissue normally heal with good ongoing burn care, leaving minimal scarring. Your dressing will need to be checked and changed regularly until the burn has completely healed to help prevent infection.",acid_and_chemical_burns,https://www.nhs.uk/conditions/acid-and-chemical-burns/
What should I do if I have suffered an attack and continue to feel upset or afraid?,"If you've been the victim of an attack and continue to feel upset, anxious or afraid several days after the incident, you can ask to be referred to the hospital's mental health liaison team for support and treatment. Anyone with an existing mental health problem who has suffered an attack should also be referred to this team.",acid_and_chemical_burns,https://www.nhs.uk/conditions/acid-and-chemical-burns/
Can severe chemical burns lead to long-term complications?,"Yes, severe chemical burns can lead to long-term complications. More severe and deeper burns can take months or even years to fully heal and can usually leave some visible scarring. In some cases, the depth and location of the burn may also lead to problems such as sight loss or restricted use of limbs or muscles.",acid_and_chemical_burns,https://www.nhs.uk/conditions/acid-and-chemical-burns/
What specialist support is available for chemical burn victims?,"Specialist burns teams include occupational therapists, physiotherapists, and mental health professionals who can support your recovery. For chemical burns affecting the eyes, you're also likely to be urgently assessed by an eye specialist to help minimize the risk of lasting vision loss. Burns support groups also provide practical and emotional support to victims and their families.",acid_and_chemical_burns,https://www.nhs.uk/conditions/acid-and-chemical-burns/
What is an acoustic neuroma?,"An acoustic neuroma is a type of non-cancerous (benign) brain tumour that grows on the nerve used for hearing and balance, which can cause problems such as hearing loss and unsteadiness.",acoustic_neuroma,https://www.nhs.uk/conditions/acoustic-neuroma/
What are the symptoms of an acoustic neuroma?,"Symptoms of an acoustic neuroma may include hearing loss that usually only affects one ear, hearing sounds that come from inside the body (tinnitus), and the sensation that you're moving or spinning (vertigo). A large acoustic neuroma can also sometimes cause persistent headaches, temporary blurred or double vision, numbness, pain or weakness on one side of the face, problems with limb co-ordination (ataxia) on one side of the body, voice changes or difficulty swallowing (dysphagia).",acoustic_neuroma,https://www.nhs.uk/conditions/acoustic-neuroma/
Can an acoustic neuroma be cancerous?,"No, an acoustic neuroma is a type of non-cancerous (benign) brain tumour that usually grows slowly over many years and does not spread to other parts of the body.",acoustic_neuroma,https://www.nhs.uk/conditions/acoustic-neuroma/
What causes an acoustic neuroma?,"The cause of acoustic neuromas is usually unknown, although a small number of cases are the result of a genetic condition called neurofibromatosis type 2 (NF2).",acoustic_neuroma,https://www.nhs.uk/conditions/acoustic-neuroma/
How is an acoustic neuroma diagnosed?,"An acoustic neuroma can be difficult to diagnose because the symptoms can be caused by other conditions, such as Ménière's disease. If your GP thinks you could have an acoustic neuroma, you'll be referred to a hospital or clinic for further tests, such as hearing tests to check for hearing problems and determine whether they're caused by a problem with your nerves, an MRI scan, which uses strong magnetic fields and radio waves to produce a detailed picture of the inside of your head, or a CT scan, which uses a series of X-rays to create a detailed image of the inside of your head.",acoustic_neuroma,https://www.nhs.uk/conditions/acoustic-neuroma/
What are the treatment options for an acoustic neuroma?,"There are several different treatment options for an acoustic neuroma, depending on the size and position of your tumour, how fast it's growing and your general health. The main options are monitoring the tumour – small tumours often just need to be monitored with regular MRI scans, brain surgery – surgery to remove all or some of the tumour through a cut in the skull may be carried out under general anaesthetic if it's large or getting bigger, or stereotactic radiosurgery – small tumours, or any pieces of a larger tumour that remain after surgery, may be treated with a precise beam of radiation to stop them getting any bigger.",acoustic_neuroma,https://www.nhs.uk/conditions/acoustic-neuroma/
What risks do the treatment options for an acoustic neuroma carry?,"All treatment options carry some risks. For example, surgery and radiosurgery can sometimes cause facial numbness or an inability to move part of your face (paralysis).",acoustic_neuroma,https://www.nhs.uk/conditions/acoustic-neuroma/
Can an acoustic neuroma be fatal?,Large acoustic neuromas can be serious because they can sometimes cause a life-threatening build-up of fluid in the brain (hydrocephalus). But it's rare for them to reach this stage.,acoustic_neuroma,https://www.nhs.uk/conditions/acoustic-neuroma/
How can hearing loss caused by an acoustic neuroma be treated?,"Hearing loss caused by an acoustic neuroma can be treated by hearing aids, cochlear implants or bone-anchored hearing devices. Your specialist can recommend the best option for you.",acoustic_neuroma,https://www.nhs.uk/conditions/acoustic-neuroma/
What is the outlook for people with acoustic neuromas?,"Even with treatment, symptoms such as hearing loss and tinnitus can persist and affect your ability to work, communicate and drive. These problems may need additional treatment. It's also possible for an acoustic neuroma to occasionally return after treatment. This is thought to happen to around 1 in every 20 people who have had surgical removal. You'll probably continue having regular MRI scans after any treatment to check if the tumour is growing again or coming back.",acoustic_neuroma,https://www.nhs.uk/conditions/acoustic-neuroma/
What is acromegaly?,"Acromegaly is a rare condition where the body produces too much growth hormone, causing body tissues and bones to grow more quickly.",acromegaly,https://www.nhs.uk/conditions/acromegaly/
What are the symptoms of acromegaly?,"Acromegaly can cause a wide range of symptoms, which tend to develop very slowly over time. Early symptoms include swollen hands and feet, tiredness and difficulty sleeping, gradual changes in your facial features, numbness and weakness in your hands, caused by a compressed nerve (carpal tunnel syndrome). As time goes on, common symptoms include abnormally large hands and feet, large, prominent facial features, skin changes, joint pain, tiredness and weakness, headaches, blurred or reduced vision, loss of sex drive, and abnormal periods (in women) and erection problems (in men).",acromegaly,https://www.nhs.uk/conditions/acromegaly/
What is the cause of acromegaly?,"Acromegaly happens because your pituitary gland (a pea-sized gland just below the brain) produces too much growth hormone. This is usually caused by a non-cancerous tumour in the pituitary gland called an adenoma. Rarely, acromegaly is caused by a tumour in another part of the body, such as the lungs, pancreas or another part of the brain. It may also be linked to some genetic conditions.",acromegaly,https://www.nhs.uk/conditions/acromegaly/
What are the risks of not treating acromegaly?,"If you do not get treatment, you may be at risk of developing type 2 diabetes, high blood pressure, heart disease, disease of the heart muscle, arthritis, and bowel polyps, which can potentially turn into bowel cancer if left untreated.",acromegaly,https://www.nhs.uk/conditions/acromegaly/
How is acromegaly diagnosed?,"If your doctor suspects you have acromegaly, you'll need to have a blood test to measure your growth hormone levels. Your doctor will also measure the level of another hormone, called insulin-like growth factor 1 (IGF-1). If your blood tests show a high level of growth hormone and IGF-1, you might have an MRI scan of your brain. This will show where the adenoma is in your pituitary gland and how big it is.",acromegaly,https://www.nhs.uk/conditions/acromegaly/
What are the treatments for acromegaly?,"Treatment for acromegaly depends on your symptoms. Usually, the goal is to reduce growth hormone production to normal levels, relieve the pressure a tumor may be putting on surrounding tissues, treat any hormone deficiencies, and improve your symptoms. Most people with acromegaly have surgery to remove a pituitary tumor. Medicine or radiotherapy may sometimes be needed after, or instead of, surgery.",acromegaly,https://www.nhs.uk/conditions/acromegaly/
What are the side effects of radiotherapy?,"Radiotherapy can have a number of side effects. It will often cause a gradual drop in the levels of other hormones produced by your pituitary gland, so you'll usually need hormone replacement therapy for the rest of your life. It may also have an effect on your fertility.",acromegaly,https://www.nhs.uk/conditions/acromegaly/
Can acromegaly run in families?,"Acromegaly sometimes runs in families, but most of the time it's not inherited. Adenomas usually spontaneously develop because of a genetic change in a cell of the pituitary gland.",acromegaly,https://www.nhs.uk/conditions/acromegaly/
How is acromegaly treated with medicine?,"Medicine may be prescribed if your growth hormone levels are still higher than normal after surgery, or if surgery was not possible. 3 different types of medicine are used: a monthly injection of either octreotide, lanreotide or pasireotide, a daily pegvisomant injection, and bromocriptine or cabergoline tablets. Each of these medicines has different advantages and disadvantages. Speak to your doctor about the options available to you, and the benefits and risks of each.",acromegaly,https://www.nhs.uk/conditions/acromegaly/
What are actinic keratoses?,"Actinic keratoses, also called solar keratoses, are dry scaly patches of skin that have been damaged by the sun.",actinic_keratoses,https://www.nhs.uk/conditions/actinic-keratoses/
What are the symptoms of actinic keratoses?,"The symptoms of actinic keratoses include dry, rough, scaly patches of skin that can feel like sandpaper. The patches are usually between 1cm to 2cm in size and can be the same color as your skin or range from pink to red to brown. They may also feel itchy, and usually appear on areas of your body that are often exposed to the sun, such as your face, hands and arms, ears, scalp, and legs.",actinic_keratoses,https://www.nhs.uk/conditions/actinic-keratoses/
When should I see a doctor about actinic keratoses?,"You should see a doctor if it is the first time you have noticed patches on your skin or if the patches bleed, get bigger, change color, feel tender, or develop into a lump. It's important to get these skin changes checked, in case they could be caused by something more serious, such as skin cancer.",actinic_keratoses,https://www.nhs.uk/conditions/actinic-keratoses/
What is the treatment for actinic keratoses?,"Treatment for actinic keratoses includes prescription creams and gels, freezing the patches (cryotherapy), surgery to cut out or scrape away the patches, or photodynamic therapy (PDT), where special cream is applied to the patches and a light is shone onto them to kill abnormal skin cells. The appropriate treatment will depend on the number and severity of the patches, as well as other factors such as your age and overall health.",actinic_keratoses,https://www.nhs.uk/conditions/actinic-keratoses/
What can happen if actinic keratoses are left untreated?,"Actinic keratoses are usually not serious, but there is a small chance they could become skin cancer, so it's important to avoid further damage to your skin. If left untreated, actinic keratoses may also become more numerous and cause cosmetic concerns.",actinic_keratoses,https://www.nhs.uk/conditions/actinic-keratoses/
Are the patches from actinic keratoses contagious?,"No, the patches from actinic keratoses are not contagious. They are not caused by a virus, bacteria, or fungus but rather by overexposure to the sun's UV rays.",actinic_keratoses,https://www.nhs.uk/conditions/actinic-keratoses/
Can actinic keratoses go away on their own?,"If you have only one skin patch, a GP might suggest waiting to see if the patch goes away by itself. However, if you have more than one patch or a patch is causing you problems such as pain and itchiness, treatment is usually recommended.",actinic_keratoses,https://www.nhs.uk/conditions/actinic-keratoses/
